title,release_date,vote_average,budget,vote_count,revenue,runtime,production_country,genres,release_year
Doctor X,1950-09-21,0.0,0,0,0,0,Philippines,"Comédia, Mistério, Terror",1950
Missão nos Balcãs,1950-12-06,6.0,0,12,0,90,United Kingdom,"Thriller, Ação",1950
Sarumba,1950-01-31,6.0,0,1,0,65,United States of America,"Drama, Música",1950
No Trace,1950-09-08,6.8,0,5,0,76,United Kingdom,"Crime, Drama",1950
Teatro Apolo,1950-10-30,6.3,0,7,0,105,,Drama,1950
Soho Conspiracy,1950-10-01,3.5,0,2,0,85,United Kingdom,"Música, Comédia",1950
Gente Così,1950-01-05,0.0,0,0,0,90,,Drama,1950
El seductor,1950-05-12,5.5,0,2,0,97,Argentina,Comédia,1950
Cinderela,1950-02-22,7.044,2900000,7064,263600000,74,United States of America,"Família, Fantasia, Animação, Romance",1950
Priehrada,1950-08-23,2.0,195000,1,0,0,Czechoslovakia,Drama,1950
Die Kreuzlschreiber,1950-03-03,5.0,0,1,0,0,,,1950
Cabellera blanca,1950-05-05,5.0,0,2,0,90,Mexico,Drama,1950
Punchy Cowpunchers,1950-01-05,5.7,0,7,0,18,United States of America,"Comédia, Faroeste",1950
Crepúsculo dos Deuses,1950-08-10,8.281,1752000,2870,5000000,110,United States of America,Drama,1950
Lockende Gefahr,1950-12-08,0.0,0,0,0,76,Germany,Drama,1950
Duelo en las montañas,1950-02-18,5.3,0,3,0,84,Mexico,"Drama, Romance, Guerra",1950
Help Yourself,1950-02-15,0.0,0,1,0,12,,,1950
Big Timber,1950-09-10,0.0,0,0,0,60,United States of America,"Aventura, Drama",1950
Dial 1119,1950-11-03,5.429,0,28,0,75,United States of America,"Thriller, Crime",1950
Lightning Guns,1950-12-01,0.0,0,0,0,55,United States of America,"Comédia, Faroeste, Ação, Aventura",1950
Cherokee Uprising,1950-10-07,0.0,0,0,0,57,United States of America,Faroeste,1950
Dastan,1950-08-17,10.0,0,1,0,122,India,"Drama, Família, Romance",1950
Trader Thorne,1950-03-08,0.0,0,0,0,22,United States of America,"Documentário, Drama",1950
Lilli Marlene,1950-12-08,5.6,0,4,0,74,United Kingdom,Drama,1950
Cry Murder,1950-01-06,3.0,0,2,0,63,United States of America,"Crime, Drama, Mistério, Romance",1950
Aankhen,1950-12-31,0.0,0,0,0,0,India,"Drama, Família",1950
Crooked River,1950-06-09,3.0,0,2,0,60,United States of America,Faroeste,1950
Dakota Lil,1950-02-17,5.0,0,4,0,88,United States of America,Faroeste,1950
La legge della vendetta,1950-01-11,0.0,0,0,0,0,,,1950
Vigilante Hideout,1950-08-06,0.0,0,0,0,60,United States of America,"Ação, Faroeste",1950
Tête dure,1950-03-02,0.0,0,0,0,2,Egypt,Animação,1950
Customs Agent,1950-05-18,0.0,0,0,0,71,United States of America,"Crime, Drama",1950
Studio Stoops,1950-10-05,7.2,0,4,0,16,United States of America,Comédia,1950
Cricket,1950-11-18,0.0,0,0,0,17,United Kingdom,Documentário,1950
Julius Caesar,1950-03-08,5.8,15000,6,0,106,United States of America,"Drama, História",1950
Schatten der Nacht,1950-01-10,6.0,0,1,0,82,Germany,Drama,1950
La Soif des hommes,1950-03-31,0.0,0,0,0,93,France,"Drama, Romance",1950
O Príncipe Pirata,1950-10-11,10.0,0,1,0,0,Italy,Aventura,1950
La edad peligrosa,1950-08-17,5.0,0,2,0,90,Mexico,,1950
The Wooden Horse,1950-10-16,6.8,0,27,0,101,United Kingdom,"Guerra, Drama",1950
Let's Have a Murder,1950-12-31,0.0,0,0,0,95,United Kingdom,"Crime, Comédia",1950
Short Grass,1950-12-24,6.0,0,1,0,82,United States of America,Faroeste,1950
La fe en Dios,1950-10-17,5.0,0,4,0,93,,,1950
妻と女記者 ―若い愛の危機―,1950-04-02,0.0,0,0,0,92,Japan,Drama,1950
È più facile che un cammello...,1950-10-19,5.9,0,11,0,81,"Italy, France","Drama, Fantasia",1950
The Ducksters,1950-09-02,6.8,0,40,0,7,United States of America,"Animação, Comédia",1950
Poslední výstřel,1950-08-04,5.5,0,2,0,92,Czechoslovakia,"Drama, Guerra",1950
California Passage,1950-12-15,4.0,0,1,0,90,United States of America,Faroeste,1950
Köyhä laulaja,1950-04-28,7.0,0,1,0,73,Finland,"Comédia, Romance",1950
Crônica de um Amor,1950-11-03,6.652,0,105,0,103,Italy,"Drama, Romance",1950
Sensation im Savoy,1950-09-22,0.0,0,0,0,80,Germany,Comédia,1950
Beware of Blondie,1950-04-13,5.3,0,3,0,66,United States of America,Comédia,1950
Toscanito y los detectives,1950-03-17,0.0,0,0,0,76,Argentina,Comédia,1950
Um Dia de Vida,1950-11-23,6.1,0,7,0,97,Mexico,"Drama, Romance",1950
The Sundowners,1950-02-02,5.0,0,13,0,83,United States of America,"Ação, Faroeste",1950
A Malvada,1950-11-09,8.082,1400000,1662,8402553,138,United States of America,Drama,1950
Pancho Villa vuelve,1950-01-20,5.3,0,3,0,90,,,1950
Trágico Destino,1950-11-16,6.4,0,56,0,82,United States of America,Thriller,1950
Der Wallnerbub,1950-12-12,6.5,0,2,0,0,Austria,Drama,1950
Drei Mädchen spinnen,1950-10-26,0.0,0,0,0,0,,Comédia,1950
"Tú, solo tú",1950-01-13,5.8,0,4,0,90,,"Comédia, Música",1950
Across the Badlands,1950-09-14,0.0,0,0,0,55,United States of America,Faroeste,1950
Les Derniers Jours de Pompéi,1950-03-02,5.1,0,8,0,103,"Italy, France","História, Drama",1950
Hills of Oklahoma,1950-06-01,0.0,0,0,0,67,United States of America,Faroeste,1950
A Noite de 23 de Maio,1950-06-23,6.7,0,64,0,93,United States of America,"Crime, Thriller",1950
Tiempos felices,1950-10-26,0.0,0,0,0,0,Spain,Comédia,1950
Champanhe Para César,1950-05-11,7.2,0,23,0,99,United States of America,Comédia,1950
All a Bir-r-r-d,1950-06-24,6.1,0,34,0,7,United States of America,"Animação, Comédia, Família",1950
Border Outlaws,1950-11-01,0.0,0,0,0,57,United States of America,Faroeste,1950
L'edera,1950-11-29,6.0,0,1,0,78,,"Drama, Romance",1950
State Penitentiary,1950-06-08,6.5,0,1,0,66,United States of America,"Drama, Aventura, Crime",1950
Eine Nacht im Séparée,1950-02-10,0.0,0,0,0,0,Germany,Comédia,1950
Entre tu amor y el cielo,1950-11-30,5.0,0,3,0,90,Mexico,"Drama, Crime",1950
Na Noite do Crime,1950-11-10,6.771,0,109,0,77,United States of America,"Thriller, Crime, Mistério",1950
The Fargo Phantom,1950-02-09,0.0,0,0,0,25,United States of America,Faroeste,1950
Insect Zoo,1950-01-01,0.0,0,0,0,10,United States of America,Documentário,1950
Fence Riders,1950-01-19,2.0,0,1,0,57,United States of America,Faroeste,1950
Por la puerta falsa,1950-11-16,6.7,0,7,0,93,Mexico,Drama,1950
Trois télégrammes,1950-11-02,0.0,0,0,0,97,,,1950
Entre o Amor e a Morte,1950-01-06,6.2,0,37,0,92,United States of America,"Thriller, Crime, Drama, Romance",1950
O Ódio é Cego,1950-08-16,6.9,0,102,1300000,107,United States of America,"Drama, Crime, Thriller",1950
Contro la legge,1950-08-09,6.0,0,1,0,99,Italy,Crime,1950
Ha entrado un ladrón,1950-03-06,5.0,0,4,0,0,Spain,Drama,1950
Gente sin importancia,1950-01-01,0.0,0,0,0,0,,,1950
A Lâmpada Azul,1950-01-19,6.592,0,60,0,84,United Kingdom,"Crime, Thriller, Ação",1950
الأفوكاتو مديحة,1950-04-10,0.0,0,0,0,0,Egypt,,1950
Maria Chapdelaine,1950-11-16,0.0,0,0,0,100,"France, United Kingdom",Drama,1950
Pancho Villa Returns,1950-10-20,5.0,0,2,0,95,Mexico,Faroeste,1950
Raiders of Tomahawk Creek,1950-09-30,0.0,0,0,0,55,United States of America,Faroeste,1950
Romance en tres noches,1950-12-12,0.0,0,0,0,89,Argentina,"Romance, Comédia, Drama",1950
The Fight: Science Against Cancer,1950-12-31,5.8,0,5,0,21,Canada,Documentário,1950
When You're Smiling,1950-08-30,0.0,0,0,0,75,United States of America,Música,1950
ساعة لقلبك,1950-03-27,0.0,0,0,0,0,Egypt,"Drama, Música",1950
Rendez-vous avec la chance,1950-08-23,6.0,0,1,0,72,,,1950
青空天使,1950-05-20,0.0,0,0,0,82,Japan,Drama,1950
鬼屋,1950-07-06,0.0,0,0,0,0,Hong Kong,Terror,1950
憧れのハワイ航路,1950-04-01,0.0,0,0,0,78,Japan,,1950
Land of Tradition,1950-01-20,7.0,0,1,0,9,United States of America,Documentário,1950
A Ladra,1950-01-13,6.473,0,91,0,99,United States of America,"Thriller, Crime, Drama",1950
غرام راقصة,1950-09-18,0.0,0,0,0,120,Egypt,"Música, Comédia, Romance, Drama",1950
"Nosotras, las taquígrafas",1950-12-28,5.5,0,4,0,100,"Mexico, Venezuela","Comédia, Drama",1950
Hace cien años,1950-01-02,0.0,0,0,0,0,,Drama,1950
Os Esquecidos,1950-12-09,8.033,0,525,0,82,Mexico,"Drama, Crime",1950
حبايبي كتير,1950-11-06,0.0,0,0,0,115,Egypt,Drama,1950
طريق الشوك,1950-04-10,0.0,0,0,0,128,Egypt,"Drama, Crime",1950
Corações Sob o Mar,1950-11-09,7.0,0,1,0,90,"France, Italy","Drama, Romance",1950
東京キッド,1950-09-09,0.0,0,0,0,81,Japan,,1950
擺錯迷魂陣,1950-09-21,0.0,0,0,0,80,Hong Kong,Comédia,1950
No Silêncio da Noite,1950-05-17,7.613,0,652,0,93,United States of America,"Thriller, Drama, Romance, Mistério",1950
Plus de vacances pour le Bon Dieu,1950-04-12,0.0,0,0,0,93,,,1950
47 morto che parla,1950-12-22,7.1,0,80,0,86,Italy,Comédia,1950
معلهش يا زهر,1950-04-20,0.0,0,0,0,0,Egypt,"Drama, Música",1950
Barricade,1950-03-24,6.3,0,6,0,75,United States of America,Faroeste,1950
Bomba and the Hidden City,1950-09-24,4.6,0,8,0,72,United States of America,"Aventura, Drama",1950
O Segredo das Jóias,1950-05-12,7.489,1232000,529,0,112,United States of America,"Crime, Drama",1950
Joe Palooka in Humphrey Takes a Chance,1950-06-04,0.0,0,0,0,62,United States of America,"Família, Comédia",1950
Jiggs and Maggie Out West,1950-04-23,2.0,0,1,0,66,United States of America,"Faroeste, Comédia",1950
Coração Indômito,1950-11-06,6.222,300000,36,120000,111,United Kingdom,"Drama, Romance",1950
Rustlers on Horseback,1950-10-23,5.0,0,1,0,60,United States of America,Faroeste,1950
Michael Madhusudhan,1950-12-31,0.0,0,0,0,145,India,,1950
Frontier Outpost,1950-12-29,0.0,0,0,0,55,United States of America,Faroeste,1950
Kill the Umpire,1950-04-27,6.3,0,6,0,78,United States of America,Comédia,1950
Rashomon,1950-08-26,8.041,250000,2464,117668,88,Japan,"Crime, Drama, Mistério",1950
Atom Man vs. Superman,1950-07-20,5.219,0,16,0,252,United States of America,"Ação, Ficção científica",1950
Kamal Ke Phool,1950-09-21,0.0,0,0,0,122,India,,1950
Tatranský pohár 1950,1950-12-31,0.0,0,0,0,0,Czechoslovakia,Documentário,1950
Campeón a la fuerza,1950-01-05,0.0,0,0,0,80,Argentina,Comédia,1950
Louisa,1950-05-31,6.5,0,10,0,90,United States of America,"Comédia, Romance",1950
情憎,1950-01-13,0.0,0,0,0,0,Hong Kong,,1950
And Then There Were Four,1950-06-23,5.0,26000,2,0,27,United States of America,Drama,1950
Os Desgraçados Não Choram,1950-05-13,7.0,0,60,0,103,United States of America,"Crime, Drama",1950
Double Confession,1950-04-30,6.036,0,14,0,86,United Kingdom,"Thriller, Crime",1950
Katie Did It,1950-11-26,6.0,0,2,0,81,United States of America,"Comédia, Romance",1950
Father Is a Bachelor,1950-02-22,7.4,0,7,0,83,United States of America,"Comédia, Família",1950
Flechas de Fogo,1950-07-21,6.7,0,215,3600000,93,United States of America,"Faroeste, Drama, Romance",1950
Ratavartijan kaunis Inkeri,1950-10-20,4.4,0,5,0,88,Finland,Drama,1950
Frech und verliebt,1950-03-30,0.0,0,0,0,0,,,1950
పల్లెటూరి పిల్ల,1950-04-27,0.0,0,0,0,176,India,Drama,1950
The Return of Jesse James,1950-08-01,5.0,0,1,0,75,United States of America,"Drama, Faroeste, Ação",1950
The Grass Is Always Greener,1950-01-07,4.889,0,9,0,17,United States of America,Drama,1950
Mark of the Gorilla,1950-01-12,3.6,0,9,0,68,United States of America,Aventura,1950
"So Young, So Bad",1950-05-20,5.077,0,13,0,91,United States of America,Drama,1950
Nové Československo,1950-02-25,5.0,0,1,0,0,"Czechoslovakia, Soviet Union",Documentário,1950
Life on the Thames,1950-08-26,6.0,0,1,0,9,United States of America,Documentário,1950
Envoi de Fleurs,1950-05-26,5.0,0,4,0,102,France,Drama,1950
Beyond the Purple Hills,1950-07-25,0.0,0,0,0,69,United States of America,Faroeste,1950
Historien om Hjortholm,1950-10-05,6.5,0,2,0,101,Denmark,Comédia,1950
El morocho del Abasto (La vida de Carlos Gardel),1950-03-22,10.0,0,1,0,92,Argentina,"Música, Drama",1950
షావుకారు,1950-04-07,0.0,0,0,0,177,India,Drama,1950
Stella,1950-07-20,9.0,0,1,0,83,United States of America,Comédia,1950
Miasto nieujarzmione - Robinson warszawski,1950-12-07,4.0,0,1,0,86,Poland,"Guerra, Drama",1950
Pára nad hrncem,1950-10-20,7.0,0,1,0,0,Czechoslovakia,Comédia,1950
মেজদিদি,1950-06-09,0.0,0,0,0,0,India,Drama,1950
The Lost Volcano,1950-06-25,5.2,0,10,0,76,United States of America,Aventura,1950
Die wunderschöne Galathee,1950-04-13,0.0,0,0,0,0,Germany,Comédia,1950
O Caminho da Esperança,1950-11-22,7.5,0,43,0,100,Italy,Drama,1950
O Palhaço do Batalhão,1950-12-31,5.281,0,57,0,93,United States of America,Comédia,1950
A Mulher Falada,1950-10-03,6.31,0,21,0,88,United Kingdom,"Mistério, Crime, Drama",1950
說謊世界,1950-06-29,0.0,0,0,0,119,Hong Kong,"Drama, Comédia",1950
The Showdown,1950-08-15,5.2,0,5,0,86,United States of America,"Mistério, Faroeste",1950
Murder Without Crime,1950-10-01,5.6,0,8,0,78,United Kingdom,"Crime, Thriller",1950
El duende y el rey,1950-05-29,0.0,0,0,0,0,Spain,Drama,1950
Un corazón en el ruedo,1950-01-05,5.0,0,2,0,106,Mexico,Drama,1950
Tambien de dolor se canta,1950-08-31,7.042,0,24,0,97,Mexico,"Comédia, Drama, Música",1950
Pretty Baby,1950-09-16,6.0,0,4,0,92,United States of America,Comédia,1950
Cuando los hijos odian,1950-02-09,5.0,0,3,0,100,,,1950
Joe Palooka Meets Humphrey,1950-02-05,4.0,0,2,0,65,United States of America,"Família, Comédia",1950
I'll Get By,1950-10-02,5.6,0,7,0,83,United States of America,"Romance, Comédia, Música",1950
Train To Tombstone,1950-09-16,1.0,0,1,0,56,United States of America,Faroeste,1950
Yo no soy la Mata-Hari,1950-08-21,0.0,0,0,0,83,Spain,Comédia,1950
Outlaw Gold,1950-11-26,0.0,0,0,0,56,United States of America,Faroeste,1950
Tony Draws a Horse,1950-06-01,0.0,0,0,0,90,United Kingdom,Comédia,1950
The Lion's Busy,1950-02-18,6.125,0,16,0,7,United States of America,"Animação, Família, Comédia",1950
Four Men in Prison,1950-12-31,0.0,0,0,0,40,United Kingdom,Documentário,1950
"Francisco, Arauto de Deus",1950-12-15,7.1,0,97,0,87,Italy,"Drama, História",1950
"Fangio, el demonio de las pistas",1950-11-15,0.0,0,0,0,113,Argentina,"Aventura, História",1950
La malcasada,1950-10-05,5.0,0,2,0,90,Mexico,"Drama, Thriller",1950
La ciudad perdida,1950-11-22,5.0,0,2,0,90,Mexico,"Crime, Drama",1950
Der Kahn der fröhlichen Leute,1950-02-17,4.5,0,2,0,91,East Germany,"Comédia, Drama, Romance",1950
Siete Infantes de Lara,1950-04-17,0.0,0,0,0,0,Philippines,Ação,1950
Popeye Makes a Movie,1950-08-11,6.0,0,1,0,9,United States of America,"Animação, Comédia",1950
Tarzan and the Slave Girl,1950-06-23,5.4,0,15,0,74,United States of America,"Ação, Aventura",1950
Janmashtami,1950-05-26,0.0,0,0,0,153,,,1950
Caravana de Bravos,1950-04-22,6.684,0,152,0,86,United States of America,"Aventura, Faroeste",1950
Perdidamente Tua,1950-09-01,5.1,0,19,0,108,United States of America,Drama,1950
Le Trésor de Cantenac,1950-09-06,5.6,0,4,0,105,France,Comédia,1950
Ultimatum,1950-10-30,6.8,0,42,0,94,United Kingdom,Thriller,1950
Die lustigen Weiber von Windsor,1950-10-22,7.0,0,1,0,96,East Germany,"Música, Comédia",1950
كيد النساء,1950-10-02,0.0,0,0,0,90,Egypt,,1950
The Marshall of Trail City,1950-05-10,5.0,0,1,0,25,United States of America,"Faroeste, Cinema TV",1950
Jitterbug Jive,1950-06-23,0.0,0,0,0,6,United States of America,"Animação, Comédia",1950
La vida en broma,1950-05-24,5.0,0,4,0,98,Mexico,"Comédia, Romance",1950
Lincoln Speaks at Gettysburg,1950-12-31,0.0,0,0,0,0,,,1950
Ateşten Gömlek,1950-12-03,0.0,0,0,0,0,,"Guerra, Drama",1950
Western Pacific Agent,1950-04-10,5.5,0,4,0,65,United States of America,"Crime, Faroeste, Drama",1950
Por Uma Mulher Má,1950-12-26,6.1,0,47,0,81,United States of America,"Crime, Thriller",1950
Quel fantasma di mio marito,1950-02-03,5.5,0,1,0,95,Italy,Drama,1950
Ung och kär,1950-11-11,0.0,0,0,0,98,Sweden,"Comédia, Música",1950
RIO PERDIDO,1950-02-02,7.0,0,1,0,55,United States of America,Faroeste,1950
處女峰,1950-12-02,0.0,0,0,0,96,Japan,Drama,1950
Rumo à Alegria,1950-02-20,6.8,0,71,0,99,Sweden,"Romance, Drama, Música",1950
Code of the Silver Sage,1950-03-25,6.0,0,1,0,60,United States of America,"Ação, Drama, Mistério, Faroeste",1950
Roaming Through Michigan,1950-05-20,0.0,0,0,0,9,United States of America,Documentário,1950
Le sei mogli di Barbablù,1950-11-10,5.1,0,16,0,75,Italy,Comédia,1950
Sigillo rosso,1950-12-31,0.0,0,0,0,0,,Crime,1950
Stromboli,1950-02-15,7.074,900000,218,0,107,"Italy, United States of America",Drama,1950
Der Rat der Götter,1950-05-12,6.4,0,6,0,110,East Germany,Drama,1950
Conquistando West Point,1950-11-25,5.5,0,10,0,107,United States of America,"Música, Comédia",1950
A Passenger to Bali,1950-03-27,4.0,0,2,0,60,United States of America,Drama,1950
En dag i radioen,1950-02-16,0.0,0,0,0,0,,Documentário,1950
Filhas do Desejo,1950-09-30,6.8,0,15,0,106,Italy,"Comédia, Drama",1950
Midnight Episode,1950-12-31,0.0,0,0,0,78,United Kingdom,Crime,1950
"Trigger, Jr.",1950-06-30,5.071,0,7,0,68,United States of America,Faroeste,1950
A Ilha do Tesouro,1950-07-19,6.6,0,225,4419657,93,United States of America,"Aventura, Família",1950
È arrivato il Cavaliere,1950-12-06,5.0,0,1,0,90,Italy,Comédia,1950
Una mujer decente,1950-10-18,5.5,0,4,0,105,Mexico,,1950
Touring Northern England,1950-07-29,6.0,0,1,0,10,United States of America,Documentário,1950
O Matador,1950-05-26,7.335,0,203,0,85,United States of America,Faroeste,1950
Mining Review 3rd Year No. 5,1950-01-01,0.0,0,0,0,10,United Kingdom,Documentário,1950
How Green Is My Spinach,1950-01-27,0.0,0,0,0,6,United States of America,"Animação, Comédia",1950
Skandal in der Botschaft,1950-12-08,0.0,0,0,0,0,Germany,Comédia,1950
Missão de Vingança,1950-02-21,5.5,0,17,0,82,United States of America,"Mistério, Thriller, Guerra",1950
I Shot Billy the Kid,1950-07-27,4.0,0,4,0,57,United States of America,Faroeste,1950
September Affair,1950-10-18,5.804,0,23,0,104,United States of America,"Romance, Drama",1950
Una viuda casi alegre,1950-11-23,0.0,0,0,0,90,,"Comédia, Drama",1950
Terra em Fogo,1950-07-07,6.6,0,26,0,96,United States of America,"Crime, Drama, Thriller",1950
Adultério,1950-11-04,6.0,0,6,0,90,Italy,"Crime, Drama",1950
O Coelho de Sevilha,1950-12-16,7.557,0,174,0,8,United States of America,"Animação, Comédia, Música",1950
Matrimonio y mortaja,1950-03-08,4.6,0,5,0,88,Mexico,Comédia,1950
Perdida,1950-06-03,7.8,0,6,0,91,Mexico,Drama,1950
När kärleken kom till byn,1950-10-08,0.0,0,0,0,110,Sweden,Drama,1950
The Song of Sto. Tomas,1950-05-26,0.0,0,0,0,0,Philippines,"Música, Romance",1950
Azahares para tu boda,1950-07-19,5.7,0,3,0,115,Mexico,"Drama, Comédia",1950
Cavaleiros da Bandeira Negra,1950-11-15,5.8,0,19,0,80,United States of America,Faroeste,1950
The Fox Hunt,1950-02-17,0.0,0,0,0,7,United States of America,Animação,1950
Loffe blir polis,1950-02-18,0.0,0,0,0,97,Sweden,Comédia,1950
Angry Boy,1950-02-07,7.0,0,3,0,31,,"Drama, Família",1950
Canzoni per le strade,1950-10-09,5.0,0,1,0,0,Italy,"Música, Romance",1950
The Brave Engineer,1950-03-03,6.0,0,17,0,8,United States of America,"Animação, Família",1950
Il ladro di Venezia,1950-12-22,5.0,0,1,0,90,"Italy, United States of America","Aventura, Guerra",1950
The Yellow Cab Man,1950-03-25,6.3,0,6,0,85,United States of America,"Comédia, Drama, Romance",1950
A Morte Está A Solta,1950-10-06,6.183,0,30,0,79,United States of America,Thriller,1950
Joe Palooka in the Squared Circle,1950-11-04,0.0,0,0,0,63,United States of America,Crime,1950
Guilt Is My Shadow,1950-03-22,5.2,0,6,0,86,United Kingdom,"Crime, Drama",1950
Brigando Por Comida,1950-08-11,6.696,0,46,0,7,United States of America,"Animação, Família",1950
Lo sparviero del Nilo,1950-09-01,3.3,0,3,0,0,,Aventura,1950
O Direito de Matar,1950-09-20,6.2,0,20,0,105,France,"Drama, Mistério",1950
Morris the Midget Moose,1950-11-24,5.7,0,13,0,8,United States of America,Animação,1950
Historia en dos aldeas,1950-03-30,0.0,0,0,0,0,Spain,Drama,1950
Melodie des Schicksals,1950-10-05,0.0,0,0,0,88,Germany,Drama,1950
Women from Headquarters,1950-05-01,4.0,0,1,0,60,United States of America,"Crime, Drama",1950
Cuatro contra el mundo,1950-04-06,6.0,0,7,0,100,Mexico,"Crime, Drama, Thriller",1950
Vino el remolino y nos alevantó,1950-03-01,6.0,0,4,0,93,Mexico,"Drama, Guerra, História",1950
Sobre las Olas,1950-09-13,5.9,0,9,0,97,Mexico,"Drama, Música, Romance",1950
The Fighting Stallion,1950-03-23,6.3,0,3,0,63,United States of America,Faroeste,1950
Bells of Coronado,1950-01-08,5.8,0,5,0,67,United States of America,Faroeste,1950
Orfeu,1950-09-29,7.664,0,284,0,96,France,"Romance, Fantasia, Drama",1950
Kon-Tiki,1950-01-13,7.4,0,57,0,58,"Norway, Sweden","Documentário, Aventura",1950
Winchester '73,1950-07-06,7.313,0,390,2250000,92,United States of America,Faroeste,1950
O Que Pode um Beijo,1950-05-19,5.8,0,17,0,87,United States of America,"Comédia, Faroeste",1950
Le Roi du bla bla bla,1950-11-08,7.5,0,2,0,95,France,Comédia,1950
Rio Bravo,1950-11-15,6.817,0,382,0,105,United States of America,Faroeste,1950
Den vita katten,1950-12-25,5.9,0,7,0,93,Sweden,"Drama, Mistério",1950
The Golden Gloves Story,1950-03-22,6.0,0,1,0,76,United States of America,"Drama, Romance",1950
Kind der Donau,1950-05-15,5.5,0,2,0,112,Austria,"Drama, Comédia, Música, Romance",1950
Vingador Impiedoso,1950-12-30,6.5,0,29,0,94,United States of America,Faroeste,1950
